Concepto,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 R,2020 R,2021 R,2022 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a  Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,270117.127,294253.549,294532.487,281657.89,292093.515,299283.011,291678.089,299962.761,306785.499,319254.887,335679.74,349833.294,362566.50700000004,374781.92100000003,375021.806,375082.821,400198.471,413550.60099999997,430207.572,424251.703,425906.505,417100.655,395538.82499999995,396077.777,410827.40100000007,443012.195,478124.99700000003,490366.571,510292.455,523308.944,548305.605,569065.838,595176.484,597199.6610000001,594889.2440000001,553280.0819999999,532828.9210000001,502350.996,471565.24999999994,448818.22799999994,465930.317,543297.695,635464.5290000001
Tamaulipas,301661.539,330920.502,331231.125,313171.267,326251.16000000003,336626.475,322702.86699999997,331968.011,336905.194,348522.485,367555.948,377819.94899999996,388740.61,393413.027,419239.836,391818.081,423986.73799999995,455081.683,504207.002,536545.01,565664.824,538197.19,558158.706,582321.1939999999,609099.706,638372.4489999999,657147.376,670947.628,686326.3640000001,630178.7490000001,642628.688,647447.553,676616.0069999999,680107.018,687652.5519999999,712997.104,709959.659,709149.522,732093.584,752770.728,693797.9029999999,723196.312,746945.7440000001
Tlaxcala,62461.652,68018.68800000001,68237.902,65651.448,67937.155,69470.168,67563.429,68998.903,69999.49399999999,72350.801,76003.55399999999,79411.943,82727.754,84565.457,87364.992,83622.143,90221.405,99083.706,101404.03899999999,107601.492,112212.235,116176.58600000001,112954.38200000001,111662.69799999999,116474.38500000001,111972.309,117236.12100000001,118240.101,119841.564,114299.182,121829.162,125891.35100000002,128974.59799999998,128120.564,130495.95900000002,137053.7,139167.799,143920.437,147752.939,146444.30199999997,133023.82200000001,140509.777,143717.417
Veracruz de Ignacio de la Llave,598151.443,642816.177,646101.093,630969.855,650194.98,663322.167,652268.4750000001,665977.182,676135.8409999999,697097.9400000001,727876.67,754565.225,777545.0700000001,795130.741,837586.157,819429.085,844058.975,870946.819,907890.003,891190.639,896917.145,882374.528,876026.947,891802.541,931125.8240000001,940665.082,992039.256,1024390.9169999999,1013361.5170000001,996543.788,1029013.319,1047541.9890000002,1084722.594,1074459.351,1074852.021,1082921.8369999998,1059514.085,1032743.7179999999,1029905.4,1055033.284,969160.893,1018390.8409999998,1032888.9860000001
Yucatán,128858.19499999999,139814.095,140424.337,136385.79200000002,140916.064,143685.35100000002,140308.631,143337.162,145505.231,150564.737,157851.869,164029.897,169412.962,175790.252,187126.78399999999,175941.94499999998,184958.478,196057.819,209786.254,217164.868,232449.318,237095.381,234921.506,237526.365,246929.63999999996,258320.60000000003,270589.952,276668.9440000001,280991.471,272887.758,283033.049,289260.51399999997,299649.18200000003,302445.46299999993,312685.72099999996,322098.079,336107.72800000006,349598.9770000001,364797.901,366192.729,333210.6219999999,358348.484,369864.39200000005
Zacatecas,75634.11,80855.522,81826.676,81474.09300000001,84037.773,86028.782,85762.145,87847.79800000001,89469.397,92479.17300000001,96917.50899999999,101223.598,105714.439,109452.14499999999,112635.59700000001,115226.865,113144.758,116878.946,126943.37,124224.347,124586.508,129056.61000000002,138591.09900000002,142477.00400000002,146477.354,150277.013,159901.09799999997,165494.332,172265.574,180057.63999999998,197186.988,197227.21200000003,201298.32,196163.85499999998,211201.49800000002,214605.46600000001,216654.627,220568.03699999998,228388.21300000005,219945.08899999998,210122.87099999998,219773.559,221026.458
Variación porcentual anual en valores constantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a  Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,NA,9.585841145952,-0.049586348292,-4.624127968554,3.513413358745,1.919215794929,-3.929959890228,2.063363180854,1.218261247199,3.625448743254,5.250043307395,3.975904978718,3.568613520303,2.866999447209,4.394127916741,-5.910299649932,6.218297188452,7.198876116873,6.185078925191,2.755030399565,5.029284000272,-0.450845219556,-0.236588035694,1.185544929346,3.56544086222,2.113247235577,4.805013537019,2.077863883353,0.943331966922,-6.295250655299,4.971334683447,3.444045065322,3.553210641646,0.852101620043,2.503763460764,2.70232338096,1.772493375021,1.871728454483,1.972082115145,-0.251335841733,-8.624555607978,5.739208156793,3.949000209108
Aguascalientes,NA,11.194096963881,0.383289192538,-5.211993824438,4.652572885544,3.04768372009,-3.974363284566,3.402269627416,2.492467386287,5.295216880413,7.504149470481,5.959161211256,5.895393061794,4.426428261079,6.082925547775,-4.326708420304,6.768713260578,7.478813707271,7.060607439493,1.829677526783,8.689314730534,5.69139140999,4.547909605769,0.948037904846,3.300457708692,1.779550347976,7.900716497774,9.371903256051,-0.282507935175,-7.558167373464,8.889123984487,4.818949552692,5.313431023619,3.665618849891,10.338774711725,6.058125999833,4.379894645848,2.227270862783,4.354577521831,-0.26482108372,-7.185884147867,3.095891192201,1.133251528674
